OrderID,OrderDate,CustomerID,Region,Category,Quantity,UnitPrice,PaymentMethod,CustomerAge,Sales,OrderMonth,OrderYear,Weekday
2965,2023-06-05,379,North,Electronics,5,25.73,Cash,47.0,128.65,2023-06,2023,Monday
1432,2024-10-20,237,North,Electronics,5,140.98,Cash,54.0,704.9,2024-10,2024,Sunday
1708,2023-07-20,101,South,Home & Kitchen,4,458.74,Wallet,25.0,1834.96,2023-07,2023,Thursday
1331,2024-08-31,164,North,Electronics,9,72.08,Debit Card,36.0,648.72,2024-08,2024,Saturday
1340,2024-05-26,196,West,Books,9,230.88,UPI,64.0,2077.92,2024-05,2024,Sunday
1922,2024-02-29,54,East,Books,3,217.3,Cash,67.0,651.9,2024-02,2024,Thursday
2168,2024-05-15,87,South,Clothing,4,176.5,UPI,35.0,706.0,2024-05,2024,Wednesday
2984,2023-07-25,324,South,Electronics,6,243.51,UPI,19.0,1461.06,2023-07,2023,Tuesday
2581,2023-02-06,149,West,Clothing,9,61.93,Debit Card,34.0,557.37,2023-02,2023,Monday
1376,2024-05-04,442,East,Books,2,335.93,Cash,22.0,671.86,2024-05,2024,Saturday
2447,2024-09-11,1,South,Clothing,7,374.64,Cash,35.0,2622.48,2024-09,2024,Wednesday
2105,2023-01-23,364,West,Sports,13,81.11,UPI,41.0,1054.43,2023-01,2023,Monday
2422,2023-01-16,150,South,Home & Kitchen,7,40.1,Wallet,43.0,280.7,2023-01,2023,Monday
2444,2024-06-09,201,West,Electronics,3,200.89,Cash,19.0,602.67,2024-06,2024,Sunday
1701,2023-11-12,173,East,Sports,4,273.44,UPI,50.0,1093.76,2023-11,2023,Sunday
1424,2023-12-16,460,South,Home & Kitchen,4,84.55,Wallet,58.0,338.2,2023-12,2023,Saturday
2471,2023-09-08,39,West,Clothing,6,279.47,Wallet,37.0,1676.82,2023-09,2023,Friday
1128,2024-12-26,430,West,Home & Kitchen,1,176.08,Credit Card,50.0,176.08,2024-12,2024,Thursday
2775,2023-06-15,258,North,Home & Kitchen,5,227.33,Debit Card,44.0,1136.65,2023-06,2023,Thursday
1276,2023-01-09,49,South,Sports,7,378.14,Credit Card,41.0,2646.98,2023-01,2023,Monday
1471,2023-07-23,158,North,Home & Kitchen,2,201.16,Cash,44.0,402.32,2023-07,2023,Sunday
1987,2023-09-16,60,East,Clothing,8,119.52,Wallet,23.0,956.16,2023-09,2023,Saturday
1472,2023-08-06,462,West,Sports,6,348.46,Debit Card,22.0,2090.76,2023-08,2023,Sunday
1929,2023-11-11,437,East,Sports,9,135.42,Debit Card,66.0,1218.78,2023-11,2023,Saturday
2482,2023-09-29,219,South,Clothing,6,426.96,Wallet,54.0,2561.76,2023-09,2023,Friday
2820,2023-08-11,127,West,Electronics,3,216.87,Debit Card,52.0,650.61,2023-08,2023,Friday
2370,2023-06-03,154,South,Clothing,13,356.54,Debit Card,35.0,4635.02,2023-06,2023,Saturday
2759,2024-05-15,420,South,Clothing,2,344.94,Wallet,69.0,689.88,2024-05,2024,Wednesday
2488,2023-12-06,46,North,Books,6,30.58,Debit Card,44.0,183.48,2023-12,2023,Wednesday
1329,2023-08-14,229,East,Sports,6,473.92,Wallet,65.0,2843.52,2023-08,2023,Monday
2833,2023-01-07,429,West,Clothing,5,122.44,Cash,41.0,612.2,2023-01,2023,Saturday
1658,2023-04-27,227,West,Sports,6,322.04,Credit Card,69.0,1932.24,2023-04,2023,Thursday
1877,2024-01-21,413,East,Sports,1,372.11,Wallet,47.0,372.11,2024-01,2024,Sunday
2390,2024-04-22,364,North,Sports,1,47.37,Debit Card,18.0,47.37,2024-04,2024,Monday
1111,2024-02-23,93,South,Electronics,9,270.62,Credit Card,19.0,2435.58,2024-02,2024,Friday
1197,2023-08-21,146,South,Sports,1,251.3,Cash,56.0,251.3,2023-08,2023,Monday
